status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_original,combined_group,sample_weight,personal_status_sex_age_combined
no checking account,12,critical account/other credits existing,car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,1,51,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
... < 100 DM,36,critical account/other credits existing,radio/television,5371,... < 100 DM,1 <= ... < 4 years,3,male : single,guarantor,2,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,no,yes,1,28,male : single_Young,0.7429906542056075,male : single_Young
no checking account,18,critical account/other credits existing,domestic appliances,1582,... >= 1000 DM,... >= 7 years,4,male : single,none,4,car or other,Mid-Career,none,own,2,skilled employee/official,1,no,yes,1,46,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,6,existing credits paid back duly till now,domestic appliances,1346,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,unknown/no property,Mid-Career,bank,for free,1,skilled employee/official,2,yes,yes,1,42,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,10,existing credits paid back duly till now,domestic appliances,1924,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,yes,no,1,38,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,5848,... < 100 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,Young,none,own,1,skilled employee/official,1,no,yes,1,24,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,24,critical account/other credits existing,car (used),7758,... >= 1000 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,Young,none,rent,1,skilled employee/official,1,no,yes,1,29,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,delay in paying off in the past,others,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,Early-Middle,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,12,existing credits paid back duly till now,radio/television,1282,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,0,20,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,9,critical account/other credits existing,education,1288,100 <= ... < 500 DM,... >= 7 years,3,male : single,guarantor,4,real estate,Mid-Career,none,own,2,skilled employee/official,2,no,no,1,48,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,12,all credits at this bank paid back duly,business,339,... < 100 DM,... >= 7 years,4,male : married/widowed,none,1,car or other,Mid-Career,bank,own,1,unskilled - resident,1,no,yes,1,45,male : married/widowed_Mid-Career,0.6875,male : married/widowed_Mid-Career
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,car or other,Early-Middle,bank,own,2,skilled employee/official,1,yes,yes,1,38,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,6,critical account/other credits existing,domestic appliances,1898,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,Early-Middle,none,own,2,unskilled - resident,2,no,yes,1,34,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,24,critical account/other credits existing,domestic appliances,2872,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,4,real estate,Early-Middle,none,own,1,skilled employee/official,2,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,18,critical account/other credits existing,car (new),1055,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,no,yes,1,30,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,15,existing credits paid back duly till now,repairs,1262,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),7308,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,Late-Career,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,70,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,6,existing credits paid back duly till now,radio/television,2978,500 <= ... < 1000 DM,1 <= ... < 4 years,1,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,1,32,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,18,existing credits paid back duly till now,radio/television,1131,... < 100 DM,unemployed,4,female : divorced/separated/married,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,0,33,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,11,existing credits paid back duly till now,radio/television,1577,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,1,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,20,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,24,existing credits paid back duly till now,radio/television,3972,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,yes,yes,1,25,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,critical account/other credits existing,others,1935,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,4,real estate,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,0,31,male : divorced/separated_Early-Middle,1.05,male : divorced/separated_Early-Middle
... < 100 DM,15,no credits taken/all credits paid back duly,car (new),950,... < 100 DM,... >= 7 years,4,male : single,none,3,car or other,Early-Middle,none,rent,2,skilled employee/official,2,no,yes,0,33,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,12,existing credits paid back duly till now,radio/television,763,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,Young,none,own,1,skilled employee/official,1,yes,yes,1,26,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2064,... < 100 DM,unemployed,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,34,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,8,existing credits paid back duly till now,domestic appliances,1414,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,no,1,33,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,21,delay in paying off in the past,retraining,3414,... < 100 DM,... < 1 year,2,male : single,none,1,building society savings agreement/life insurance,Young,none,own,2,skilled employee/official,1,no,yes,0,26,male : single_Young,1.5288461538461535,male : single_Young
no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/no savings account,unemployed,4,female : divorced/separated/married,none,1,real estate,Mid-Career,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,53,female : divorced/separated/married_Mid-Career,2.333333333333333,female : divorced/separated/married_Mid-Career
... < 100 DM,12,existing credits paid back duly till now,radio/television,2577,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,1,car or other,Mid-Career,none,own,1,skilled employee/official,1,no,yes,1,42,male : divorced/separated_Mid-Career,0.75,male : divorced/separated_Mid-Career
... < 100 DM,6,critical account/other credits existing,domestic appliances,338,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,car or other,Mid-Career,none,own,2,skilled employee/official,1,no,yes,1,52,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,12,existing credits paid back duly till now,domestic appliances,1963,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,Early-Middle,none,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,31,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,21,critical account/other credits existing,car (new),571,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,2,skilled employee/official,1,no,yes,1,65,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
no checking account,36,delay in paying off in the past,others,9572,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,car or other,Young,none,own,2,skilled employee/official,1,no,yes,0,28,male : divorced/separated_Young,1.25,male : divorced/separated_Young
0 <= ... < 200 DM,36,delay in paying off in the past,others,4455,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,Young,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,30,male : divorced/separated_Young,1.25,male : divorced/separated_Young
... < 100 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,2,unskilled - resident,2,no,yes,0,40,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,24,critical account/other credits existing,radio/television,3777,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,1,50,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,18,critical account/other credits existing,car (new),884,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Early-Middle,bank,own,1,skilled employee/official,2,yes,yes,0,36,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,15,critical account/other credits existing,domestic appliances,1360,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,1,no,yes,1,31,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,Late-Career,bank,for free,1,management/self-employed/highly qualified employee/officer,2,yes,yes,0,74,female : divorced/separated/married_Late-Career,2.875,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,16,critical account/other credits existing,car (new),1175,... < 100 DM,unemployed,2,male : single,none,3,car or other,Late-Career,none,for free,3,unemployed/unskilled - non-resident,1,yes,yes,1,68,male : single_Late-Career,0.7166666666666667,male : single_Late-Career
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,0,20,male : married/widowed_Young,1.7647058823529411,male : married/widowed_Young
0 <= ... < 200 DM,18,no credits taken/all credits paid back duly,radio/television,3244,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,Early-Middle,bank,own,2,skilled employee/official,1,yes,yes,1,33,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
no checking account,24,existing credits paid back duly till now,others,4591,... >= 1000 DM,1 <= ... < 4 years,2,male : single,none,3,building society savings agreement/life insurance,Mid-Career,none,own,3,management/self-employed/highly qualified employee/officer,1,yes,yes,0,54,male : single_Mid-Career,1.875,male : single_Mid-Career
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,unskilled - resident,2,no,yes,0,34,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
0 <= ... < 200 DM,27,existing credits paid back duly till now,others,3915,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,2,yes,yes,0,36,male : single_Early-Middle,2.344444444444445,male : single_Early-Middle
no checking account,6,existing credits paid back duly till now,domestic appliances,2108,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,2,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,1,29,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
0 <= ... < 200 DM,45,existing credits paid back duly till now,domestic appliances,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,guarantor,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,0,21,male : single_Young,1.5288461538461535,male : single_Young
0 <= ... < 200 DM,9,critical account/other credits existing,retraining,1501,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,3,car or other,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,34,female : divorced/separated/married_Early-Middle,1.5,female : divorced/separated/married_Early-Middle
no checking account,6,critical account/other credits existing,domestic appliances,1382,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,1,car or other,Young,none,own,2,skilled employee/official,1,yes,yes,1,28,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,951,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,4,car or other,Young,bank,rent,4,skilled employee/official,1,no,yes,0,27,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,Early-Middle,bank,for free,1,skilled employee/official,1,yes,yes,1,36,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,18,delay in paying off in the past,radio/television,4297,... < 100 DM,... >= 7 years,4,male : divorced/separated,none,3,unknown/no property,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,40,male : divorced/separated_Early-Middle,1.05,male : divorced/separated_Early-Middle
no checking account,9,critical account/other credits existing,retraining,936,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,2,car or other,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,1,52,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,12,existing credits paid back duly till now,car (new),1168,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,Young,none,own,1,unskilled - resident,1,no,yes,1,27,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,27,delay in paying off in the past,others,5117,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,car or other,Young,none,own,2,skilled employee/official,1,no,yes,1,26,male : single_Young,0.7429906542056075,male : single_Young
... < 100 DM,12,existing credits paid back duly till now,business,902,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,0,21,male : married/widowed_Young,1.7647058823529411,male : married/widowed_Young
no checking account,12,critical account/other credits existing,car (new),1495,... < 100 DM,... >= 7 years,4,male : single,none,1,real estate,Early-Middle,none,own,2,unskilled - resident,2,no,yes,1,38,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,30,critical account/other credits existing,car (used),10623,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Early-Middle,none,for free,3,management/self-employed/highly qualified employee/officer,2,yes,yes,1,38,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,12,critical account/other credits existing,radio/television,1935,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Mid-Career,none,own,3,skilled employee/official,1,yes,yes,1,43,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,12,critical account/other credits existing,repairs,1424,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,1,26,male : single_Young,0.7429906542056075,male : single_Young
... < 100 DM,24,existing credits paid back duly till now,others,6568,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,car or other,Young,stores,own,1,unskilled - resident,1,no,yes,1,21,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,12,existing credits paid back duly till now,car (used),1413,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,1,no,no,1,55,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,9,critical account/other credits existing,domestic appliances,3074,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,Early-Middle,none,own,2,skilled employee/official,2,no,yes,1,33,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,36,existing credits paid back duly till now,domestic appliances,3835,unknown/no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,real estate,Mid-Career,none,own,1,unskilled - resident,1,yes,yes,1,45,female : divorced/separated/married_Mid-Career,0.6363636363636364,female : divorced/separated/married_Mid-Career
... < 100 DM,27,no credits taken/all credits paid back duly,others,5293,... < 100 DM,unemployed,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,stores,own,2,skilled employee/official,1,yes,yes,0,50,male : single_Mid-Career,1.875,male : single_Mid-Career
... >= 200 DM / salary for at least 1 year,30,delay in paying off in the past,others,1908,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Late-Career,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,66,male : single_Late-Career,1.6538461538461535,male : single_Late-Career
no checking account,36,critical account/other credits existing,domestic appliances,3342,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,1,51,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
0 <= ... < 200 DM,6,critical account/other credits existing,business,932,unknown/no savings account,4 <= ... < 7 years,1,female : divorced/separated/married,none,3,building society savings agreement/life insurance,Early-Middle,none,own,2,unskilled - resident,1,no,yes,1,39,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
... < 100 DM,18,no credits taken/all credits paid back duly,others,3104,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,building society savings agreement/life insurance,Early-Middle,bank,own,1,skilled employee/official,1,yes,yes,1,31,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,3913,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,Young,none,own,1,skilled employee/official,1,yes,yes,1,23,male : single_Young,0.7429906542056075,male : single_Young
... < 100 DM,24,existing credits paid back duly till now,radio/television,3021,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,none,2,real estate,Young,none,rent,1,unskilled - resident,1,no,yes,1,24,male : divorced/separated_Young,0.8333333333333334,male : divorced/separated_Young
no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Late-Career,none,own,1,skilled employee/official,1,yes,yes,1,64,female : divorced/separated/married_Late-Career,0.6052631578947368,female : divorced/separated/married_Late-Career
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,625,... < 100 DM,... < 1 year,4,male : married/widowed,guarantor,1,real estate,Young,bank,own,1,unskilled - resident,1,no,yes,1,26,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
... < 100 DM,12,existing credits paid back duly till now,retraining,1200,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,bank,rent,1,skilled employee/official,1,yes,yes,1,23,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,12,existing credits paid back duly till now,domestic appliances,707,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,Young,bank,own,2,skilled employee/official,1,no,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
no checking account,24,delay in paying off in the past,others,2978,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,Early-Middle,none,own,2,skilled employee/official,2,yes,yes,1,32,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
no checking account,15,existing credits paid back duly till now,car (used),4657,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,1,30,male : single_Young,0.7429906542056075,male : single_Young
no checking account,36,no credits taken/all credits paid back duly,education,2613,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,2,skilled employee/official,1,no,yes,1,27,male : single_Young,0.7429906542056075,male : single_Young
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,10961,... >= 1000 DM,4 <= ... < 7 years,1,male : single,co-applicant,2,unknown/no property,Young,bank,own,2,skilled employee/official,1,yes,yes,0,27,male : single_Young,1.5288461538461535,male : single_Young
... < 100 DM,12,existing credits paid back duly till now,radio/television,7865,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Mid-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,53,male : single_Mid-Career,1.875,male : single_Mid-Career
no checking account,9,existing credits paid back duly till now,domestic appliances,1478,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,0,22,male : single_Young,1.5288461538461535,male : single_Young
... < 100 DM,24,existing credits paid back duly till now,radio/television,3149,... < 100 DM,... < 1 year,4,male : single,none,1,unknown/no property,Young,bank,for free,1,skilled employee/official,1,no,yes,1,22,male : single_Young,0.7429906542056075,male : single_Young
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4210,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,0,26,male : single_Young,1.5288461538461535,male : single_Young
no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,unknown/no property,Mid-Career,none,for free,1,unskilled - resident,1,no,yes,1,51,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,12,existing credits paid back duly till now,domestic appliances,2141,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,1,unknown/no property,Early-Middle,none,own,1,skilled employee/official,1,no,yes,1,35,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,866,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,guarantor,2,real estate,Young,none,own,1,unskilled - resident,1,no,yes,1,25,male : married/widowed_Young,0.6976744186046512,male : married/widowed_Young
no checking account,4,critical account/other credits existing,domestic appliances,1544,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,real estate,Mid-Career,none,own,3,unskilled - resident,2,no,yes,1,42,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1823,... < 100 DM,unemployed,4,male : single,none,2,car or other,Young,stores,own,1,management/self-employed/highly qualified employee/officer,2,no,yes,0,30,male : single_Young,1.5288461538461535,male : single_Young
0 <= ... < 200 DM,6,existing credits paid back duly till now,car (new),14555,unknown/no savings account,unemployed,1,male : single,none,2,building society savings agreement/life insurance,Young,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,0,23,male : single_Young,1.5288461538461535,male : single_Young
0 <= ... < 200 DM,21,existing credits paid back duly till now,others,2767,100 <= ... < 500 DM,... >= 7 years,4,male : divorced/separated,none,2,car or other,Late-Career,bank,rent,2,unskilled - resident,1,no,yes,0,61,male : divorced/separated_Late-Career,2.0,male : divorced/separated_Late-Career
no checking account,12,critical account/other credits existing,domestic appliances,1291,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,1,no,yes,1,35,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
... < 100 DM,30,existing credits paid back duly till now,domestic appliances,2522,... < 100 DM,... >= 7 years,1,male : single,guarantor,3,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,2,no,yes,1,39,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (new),915,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,2,car or other,Young,bank,own,1,skilled employee/official,1,no,yes,0,29,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
no checking account,6,existing credits paid back duly till now,domestic appliances,1595,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,Mid-Career,none,own,1,skilled employee/official,2,no,yes,1,51,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
... < 100 DM,48,no credits taken/all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Young,none,for free,2,skilled employee/official,2,no,yes,0,24,male : single_Young,1.5288461538461535,male : single_Young
no checking account,12,critical account/other credits existing,others,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,Young,none,own,2,skilled employee/official,1,no,yes,1,27,female : divorced/separated/married_Young,0.8504672897196262,female : divorced/separated/married_Young
no checking account,12,all credits at this bank paid back duly,business,3447,500 <= ... < 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,Early-Middle,none,own,1,unskilled - resident,2,no,yes,1,35,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
no checking account,24,existing credits paid back duly till now,others,1258,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,Young,none,own,1,skilled employee/official,1,yes,yes,1,25,male : single_Young,0.7429906542056075,male : single_Young
no checking account,12,critical account/other credits existing,domestic appliances,717,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,Mid-Career,none,own,3,skilled employee/official,1,no,yes,1,52,male : single_Mid-Career,0.6818181818181818,male : single_Mid-Career
no checking account,6,no credits taken/all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,unknown/no property,Early-Middle,bank,rent,1,skilled employee/official,1,no,no,1,35,male : single_Early-Middle,0.6355421686746988,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,1925,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,1,26,male : single_Young,0.7429906542056075,male : single_Young
no checking account,18,existing credits paid back duly till now,domestic appliances,433,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,0,22,female : divorced/separated/married_Young,1.2133333333333334,female : divorced/separated/married_Young
... < 100 DM,6,critical account/other credits existing,car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,Early-Middle,none,own,2,unskilled - resident,1,yes,yes,1,39,female : divorced/separated/married_Early-Middle,0.75,female : divorced/separated/married_Early-Middle
