status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,age_original,credit_risk,personal_status_sex_age_combined
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Mid-Career,none,own,1,unskilled - resident,1,yes,yes,48,1,female : divorced/separated/married_Mid-Career
no checking account,12,critical account/other credits existing,retraining,701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Early-Middle,none,own,2,skilled employee/official,1,no,yes,32,1,male : single_Early-Middle
... < 100 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,own,2,unskilled - resident,1,no,yes,27,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),4249,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,28,0,male : married/widowed_Young
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,no,yes,32,0,male : divorced/separated_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,Early-Middle,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,34,1,male : single_Early-Middle
... < 100 DM,18,existing credits paid back duly till now,radio/television,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,28,1,male : single_Young
no checking account,18,critical account/other credits existing,car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,Early-Middle,none,own,2,skilled employee/official,1,no,yes,36,1,female : divorced/separated/married_Early-Middle
... < 100 DM,8,critical account/other credits existing,car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,Early-Middle,none,own,2,unskilled - resident,1,no,no,39,1,male : single_Early-Middle
no checking account,12,critical account/other credits existing,radio/television,5801,unknown/no savings account,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,Mid-Career,none,rent,1,skilled employee/official,1,yes,yes,49,1,male : single_Mid-Career
no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,Early-Middle,none,own,1,skilled employee/official,2,yes,yes,34,1,female : divorced/separated/married_Early-Middle
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,31,1,male : single_Early-Middle
0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,Young,none,own,1,skilled employee/official,2,no,yes,28,1,male : single_Young
... < 100 DM,24,critical account/other credits existing,car (used),6615,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,Late-Career,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,75,1,male : single_Late-Career
no checking account,18,critical account/other credits existing,retraining,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,Young,none,own,2,skilled employee/official,1,no,yes,30,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,24,0,female : divorced/separated/married_Young
no checking account,48,critical account/other credits existing,car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,Young,bank,rent,2,unskilled - resident,1,no,yes,24,0,female : divorced/separated/married_Young
... < 100 DM,24,no credits taken/all credits paid back duly,radio/television,4110,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,Young,bank,rent,2,skilled employee/official,2,no,yes,23,0,male : single_Young
... < 100 DM,6,critical account/other credits existing,radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,Mid-Career,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,44,0,male : divorced/separated_Mid-Career
0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,Young,none,own,1,unskilled - resident,1,no,yes,23,1,female : divorced/separated/married_Young
... < 100 DM,15,existing credits paid back duly till now,repairs,1275,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,24,0,female : divorced/separated/married_Young
... < 100 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,no,yes,28,1,male : single_Young
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,Early-Middle,none,own,1,unskilled - resident,1,no,yes,31,1,male : divorced/separated_Early-Middle
0 <= ... < 200 DM,24,critical account/other credits existing,retraining,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown/no property,Young,none,for free,2,skilled employee/official,1,yes,yes,24,1,female : divorced/separated/married_Young
... < 100 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,unskilled - resident,1,no,yes,26,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM,... < 1 year,1,male : married/widowed,none,3,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,25,1,male : married/widowed_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,4439,... < 100 DM,... >= 7 years,1,male : single,co-applicant,1,real estate,Early-Middle,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,33,1,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male : single,guarantor,1,building society savings agreement/life insurance,Early-Middle,none,own,1,unskilled - resident,2,no,yes,37,1,male : single_Early-Middle
no checking account,15,critical account/other credits existing,domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,Mid-Career,none,own,1,unskilled - resident,1,no,yes,43,1,female : divorced/separated/married_Mid-Career
0 <= ... < 200 DM,13,critical account/other credits existing,domestic appliances,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,Young,none,own,2,skilled employee/official,1,no,yes,23,1,male : single_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown/no property,Young,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,23,1,female : divorced/separated/married_Young
no checking account,6,delay in paying off in the past,others,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,Early-Middle,none,own,2,unskilled - resident,1,no,yes,34,1,male : single_Early-Middle
0 <= ... < 200 DM,9,critical account/other credits existing,retraining,1136,... >= 1000 DM,... >= 7 years,4,male : single,none,3,unknown/no property,Early-Middle,none,for free,2,skilled employee/official,2,no,yes,32,0,male : single_Early-Middle
no checking account,9,existing credits paid back duly till now,repairs,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,Young,none,rent,1,skilled employee/official,1,yes,yes,23,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,no,29,0,female : divorced/separated/married_Young
no checking account,18,critical account/other credits existing,car (used),3229,unknown/no savings account,unemployed,2,male : single,none,4,unknown/no property,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,38,1,male : single_Early-Middle
... < 100 DM,12,no credits taken/all credits paid back duly,domestic appliances,6199,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,Young,none,rent,2,skilled employee/official,1,yes,yes,28,0,male : single_Young
no checking account,10,existing credits paid back duly till now,retraining,727,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,unknown/no property,Mid-Career,none,for free,1,skilled employee/official,1,yes,yes,46,1,male : single_Mid-Career
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,Young,stores,own,1,unskilled - resident,1,no,yes,23,0,male : single_Young
no checking account,12,critical account/other credits existing,domestic appliances,2331,unknown/no savings account,... >= 7 years,1,male : single,co-applicant,4,real estate,Mid-Career,none,own,1,skilled employee/official,1,yes,yes,49,1,male : single_Mid-Career
no checking account,36,delay in paying off in the past,domestic appliances,4463,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,26,0,male : single_Young
no checking account,12,existing credits paid back duly till now,domestic appliances,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,28,1,male : married/widowed_Young
... < 100 DM,30,existing credits paid back duly till now,radio/television,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,Young,none,rent,1,skilled employee/official,1,no,yes,23,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,retraining,1239,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,Late-Career,none,for free,1,skilled employee/official,1,no,yes,61,1,male : single_Late-Career
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3399,unknown/no savings account,... >= 7 years,2,male : single,none,3,car or other,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,37,1,male : single_Early-Middle
... >= 200 DM / salary for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,Early-Middle,stores,own,2,skilled employee/official,1,yes,yes,36,1,female : divorced/separated/married_Early-Middle
no checking account,6,existing credits paid back duly till now,radio/television,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,21,1,male : married/widowed_Young
... < 100 DM,18,existing credits paid back duly till now,radio/television,2473,... < 100 DM,unemployed,4,male : single,none,1,car or other,Young,none,own,1,unemployed/unskilled - non-resident,1,no,yes,25,0,male : single_Young
no checking account,12,existing credits paid back duly till now,others,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,36,1,male : single_Early-Middle
no checking account,18,critical account/other credits existing,car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,Young,none,own,2,skilled employee/official,1,no,yes,27,1,male : single_Young
... < 100 DM,18,existing credits paid back duly till now,radio/television,3650,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,22,1,female : divorced/separated/married_Young
... < 100 DM,36,existing credits paid back duly till now,radio/television,3446,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,Mid-Career,none,own,1,skilled employee/official,2,no,yes,42,0,male : single_Mid-Career
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3001,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,Early-Middle,none,rent,1,skilled employee/official,1,no,yes,40,1,female : divorced/separated/married_Early-Middle
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,Early-Middle,none,own,1,skilled employee/official,1,no,yes,36,1,male : single_Early-Middle
no checking account,18,critical account/other credits existing,domestic appliances,6070,... < 100 DM,... >= 7 years,3,male : single,none,4,car or other,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,33,1,male : single_Early-Middle
no checking account,10,critical account/other credits existing,radio/television,2146,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,3,real estate,Young,none,rent,2,skilled employee/official,1,no,yes,23,1,female : divorced/separated/married_Young
no checking account,60,critical account/other credits existing,car (new),13756,unknown/no savings account,... >= 7 years,2,male : single,none,4,unknown/no property,Late-Career,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,63,1,male : single_Late-Career
0 <= ... < 200 DM,60,all credits at this bank paid back duly,furniture/equipment,14782,100 <= ... < 500 DM,... >= 7 years,3,female : divorced/separated/married,none,4,unknown/no property,Late-Career,bank,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,60,0,female : divorced/separated/married_Late-Career
... < 100 DM,48,all credits at this bank paid back duly,others,7685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,car or other,Early-Middle,none,rent,1,skilled employee/official,1,no,yes,37,0,female : divorced/separated/married_Early-Middle
no checking account,18,delay in paying off in the past,domestic appliances,2320,... < 100 DM,unemployed,2,male : married/widowed,none,3,real estate,Early-Middle,none,own,2,skilled employee/official,1,no,yes,34,1,male : married/widowed_Early-Middle
no checking account,7,delay in paying off in the past,domestic appliances,846,unknown/no savings account,... >= 7 years,3,male : single,none,4,unknown/no property,Early-Middle,none,for free,1,skilled employee/official,1,no,yes,36,1,male : single_Early-Middle
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),14318,... < 100 DM,... >= 7 years,4,male : single,none,2,unknown/no property,Late-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,57,0,male : single_Late-Career
no checking account,6,critical account/other credits existing,car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,Mid-Career,none,own,2,unskilled - resident,1,no,yes,52,1,female : divorced/separated/married_Mid-Career
... < 100 DM,20,existing credits paid back duly till now,radio/television,2212,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,39,1,male : single_Early-Middle
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown/no property,Early-Middle,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,38,0,female : divorced/separated/married_Early-Middle
no checking account,22,existing credits paid back duly till now,car (new),1283,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,Young,none,rent,1,skilled employee/official,1,no,yes,25,1,female : divorced/separated/married_Young
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,car (new),1330,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,Young,none,own,1,skilled employee/official,1,no,yes,26,1,male : single_Young
no checking account,30,delay in paying off in the past,others,4272,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,Young,none,own,2,unskilled - resident,1,no,yes,26,1,male : single_Young
no checking account,18,critical account/other credits existing,domestic appliances,2238,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,car or other,Young,none,own,2,skilled employee/official,1,no,yes,25,1,female : divorced/separated/married_Young
no checking account,18,existing credits paid back duly till now,domestic appliances,1126,unknown/no savings account,... < 1 year,4,female : divorced/separated/married,none,2,real estate,Young,none,rent,1,skilled employee/official,1,yes,yes,21,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,7374,... < 100 DM,unemployed,4,male : single,none,4,building society savings agreement/life insurance,Early-Middle,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,40,1,male : single_Early-Middle
0 <= ... < 200 DM,15,critical account/other credits existing,others,2326,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,4,car or other,Young,bank,own,1,skilled employee/official,1,no,yes,27,1,male : single_Young
no checking account,9,existing credits paid back duly till now,others,1449,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,car or other,Young,none,own,2,skilled employee/official,1,no,yes,27,1,female : divorced/separated/married_Young
no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/life insurance,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,30,1,male : married/widowed_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,983,... >= 1000 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,Young,none,rent,1,unskilled - resident,1,no,yes,19,1,female : divorced/separated/married_Young
... < 100 DM,36,existing credits paid back duly till now,car (new),3249,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,unknown/no property,Early-Middle,bank,for free,1,management/self-employed/highly qualified employee/officer,2,yes,yes,39,1,male : single_Early-Middle
... < 100 DM,6,critical account/other credits existing,domestic appliances,1957,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,Early-Middle,none,own,1,skilled employee/official,1,no,yes,31,1,female : divorced/separated/married_Early-Middle
no checking account,9,critical account/other credits existing,radio/television,2406,... < 100 DM,unemployed,2,male : single,none,3,car or other,Early-Middle,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,31,1,male : single_Early-Middle
0 <= ... < 200 DM,39,delay in paying off in the past,retraining,11760,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown/no property,Early-Middle,none,rent,1,skilled employee/official,1,yes,yes,32,1,male : single_Early-Middle
... < 100 DM,12,existing credits paid back duly till now,radio/television,2578,... < 100 DM,unemployed,3,female : divorced/separated/married,none,4,unknown/no property,Mid-Career,none,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,55,1,female : divorced/separated/married_Mid-Career
... < 100 DM,36,critical account/other credits existing,radio/television,2348,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,building society savings agreement/life insurance,Mid-Career,none,own,2,skilled employee/official,1,yes,yes,46,1,male : married/widowed_Mid-Career
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1223,... < 100 DM,... >= 7 years,1,male : divorced/separated,none,1,real estate,Mid-Career,none,rent,2,skilled employee/official,1,no,yes,46,0,male : divorced/separated_Mid-Career
no checking account,24,critical account/other credits existing,domestic appliances,1516,... >= 1000 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,Mid-Career,none,own,2,unskilled - resident,1,no,yes,43,1,female : divorced/separated/married_Mid-Career
no checking account,18,existing credits paid back duly till now,domestic appliances,1473,... < 100 DM,... < 1 year,3,male : married/widowed,none,4,real estate,Early-Middle,none,own,1,skilled employee/official,1,yes,yes,39,1,male : married/widowed_Early-Middle
0 <= ... < 200 DM,18,critical account/other credits existing,others,1887,unknown/no savings account,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,Young,bank,own,2,skilled employee/official,1,no,yes,28,1,male : married/widowed_Young
no checking account,24,delay in paying off in the past,others,8648,... < 100 DM,... < 1 year,2,male : single,none,2,car or other,Young,bank,own,2,skilled employee/official,1,yes,yes,27,0,male : single_Young
no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,2,unskilled - resident,1,no,yes,27,1,male : single_Young
0 <= ... < 200 DM,18,delay in paying off in the past,car (new),2899,unknown/no savings account,... >= 7 years,4,male : single,none,4,car or other,Mid-Career,none,own,1,skilled employee/official,2,no,yes,43,1,male : single_Mid-Career
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,2039,... < 100 DM,... < 1 year,1,male : married/widowed,none,1,building society savings agreement/life insurance,Young,none,own,1,skilled employee/official,1,yes,yes,22,0,male : married/widowed_Young
no checking account,24,critical account/other credits existing,car (used),2197,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,Mid-Career,none,own,2,skilled employee/official,2,yes,yes,43,1,male : single_Mid-Career
... < 100 DM,15,existing credits paid back duly till now,domestic appliances,1053,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,no,27,1,male : married/widowed_Young
no checking account,24,existing credits paid back duly till now,domestic appliances,3235,500 <= ... < 1000 DM,... >= 7 years,3,male : divorced/separated,none,2,car or other,Young,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,26,1,male : divorced/separated_Young
... >= 200 DM / salary for at least 1 year,12,critical account/other credits existing,car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,none,2,real estate,Young,none,own,3,skilled employee/official,1,yes,yes,28,0,male : married/widowed_Young
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,1967,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,car or other,Young,none,own,1,skilled employee/official,1,yes,yes,20,1,female : divorced/separated/married_Young
no checking account,33,critical account/other credits existing,car (used),7253,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,35,1,male : single_Early-Middle
no checking account,12,critical account/other credits existing,others,2292,... < 100 DM,unemployed,4,male : single,none,2,car or other,Mid-Career,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,42,0,male : single_Mid-Career
no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : single,none,2,unknown/no property,Early-Middle,none,rent,1,unskilled - resident,2,no,no,40,1,male : single_Early-Middle
... < 100 DM,24,existing credits paid back duly till now,car (new),1381,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,no,yes,35,0,female : divorced/separated/married_Early-Middle
no checking account,36,critical account/other credits existing,car (used),5842,... < 100 DM,... >= 7 years,2,male : single,none,2,building society savings agreement/life insurance,Early-Middle,none,own,2,skilled employee/official,2,yes,yes,35,1,male : single_Early-Middle
... < 100 DM,12,existing credits paid back duly till now,car (new),2579,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,Early-Middle,none,own,1,unskilled - resident,2,no,yes,33,0,male : single_Early-Middle
... < 100 DM,18,delay in paying off in the past,retraining,8471,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,Young,none,rent,2,skilled employee/official,1,yes,yes,23,1,female : divorced/separated/married_Young
no checking account,21,existing credits paid back duly till now,car (new),2782,500 <= ... < 1000 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,2,car or other,Early-Middle,bank,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,31,1,female : divorced/separated/married_Early-Middle
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Early-Middle,none,own,1,skilled employee/official,1,no,yes,33,0,female : divorced/separated/married_Early-Middle
no checking account,15,existing credits paid back duly till now,car (new),3186,... >= 1000 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,3,car or other,Young,none,rent,1,skilled employee/official,1,no,yes,20,1,female : divorced/separated/married_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,2,car or other,Young,none,own,1,skilled employee/official,1,no,yes,30,1,male : single_Young
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),958,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,Mid-Career,none,own,2,unskilled - resident,2,no,yes,47,1,male : single_Mid-Career
no checking account,21,delay in paying off in the past,radio/television,1591,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,Early-Middle,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,34,1,male : single_Early-Middle
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,2762,unknown/no savings account,... >= 7 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,Young,bank,own,1,skilled employee/official,1,yes,yes,25,0,female : divorced/separated/married_Young
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),2779,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,3,car or other,Young,none,rent,1,skilled employee/official,1,yes,yes,21,1,male : married/widowed_Young
no checking account,28,critical account/other credits existing,domestic appliances,2743,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,Young,none,own,2,skilled employee/official,1,no,yes,29,1,male : single_Young
no checking account,18,critical account/other credits existing,domestic appliances,1149,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,3,real estate,Mid-Career,none,own,2,skilled employee/official,1,no,yes,46,1,male : single_Mid-Career
no checking account,9,existing credits paid back duly till now,radio/television,1313,... < 100 DM,... >= 7 years,1,male : single,none,4,car or other,Young,none,own,1,skilled employee/official,1,no,yes,20,1,male : single_Young
... < 100 DM,18,critical account/other credits existing,education,1190,... < 100 DM,unemployed,2,female : divorced/separated/married,none,4,unknown/no property,Mid-Career,none,for free,3,unemployed/unskilled - non-resident,2,no,yes,55,0,female : divorced/separated/married_Mid-Career
no checking account,5,existing credits paid back duly till now,others,3448,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,Late-Career,none,own,1,unskilled - resident,1,no,yes,74,1,male : single_Late-Career
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,11328,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,Young,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,29,0,male : single_Young
... < 100 DM,6,critical account/other credits existing,radio/television,1872,... < 100 DM,unemployed,4,male : single,none,4,unknown/no property,Early-Middle,none,for free,3,management/self-employed/highly qualified employee/officer,1,yes,yes,36,1,male : single_Early-Middle
no checking account,24,critical account/other credits existing,education,2058,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,33,1,male : divorced/separated_Early-Middle
... < 100 DM,9,existing credits paid back duly till now,radio/television,2136,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,Young,none,own,1,skilled employee/official,1,no,yes,25,1,male : single_Young
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1484,unknown/no savings account,1 <= ... < 4 years,2,male : married/widowed,none,1,real estate,Young,none,own,1,skilled employee/official,1,yes,yes,25,0,male : married/widowed_Young
no checking account,6,existing credits paid back duly till now,education,660,500 <= ... < 1000 DM,4 <= ... < 7 years,2,male : married/widowed,none,4,real estate,Young,none,rent,1,unskilled - resident,1,no,yes,23,1,male : married/widowed_Young
no checking account,24,critical account/other credits existing,car (new),1287,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,Early-Middle,none,own,2,skilled employee/official,1,yes,yes,37,1,female : divorced/separated/married_Early-Middle
... < 100 DM,42,critical account/other credits existing,education,3394,... < 100 DM,unemployed,4,male : single,co-applicant,4,car or other,Late-Career,none,own,2,unemployed/unskilled - non-resident,1,no,yes,65,1,male : single_Late-Career
